ID_1,Name,type,W1_mean,W1_sig,W2_mean,W2_sig,W2_delta,SD/sig,W4,W4_sig,Dis,Rad,T_dust,L_bol,LogM,LogNH2,Fmax,Fmin,Var,Count,ref
968,349.884+0.231,Irregular,10.983 ,0.040 ,7.322 ,0.013 ,0.524 ,7.375 ,0.779 ,0.016 ,10.46 ,0.19 ,29.1 ,3.20 ,1.69 ,21.90 ,6.4 ,6.4 ,1.0 ,1,MMB
986,351.251+0.652,Irregular,8.942 ,0.028 ,3.371 ,0.032 ,1.689 ,1.856 ,-1.070 ,--,1.32 ,0.21 ,29.1 ,4.16 ,2.52 ,23.23 ,1.3 ,1.3 ,1.0 ,1,MMB
1004,352.630-1.067,Irregular,7.921 ,0.015 ,2.441 ,0.013 ,0.880 ,1.107 ,-3.133 ,0.003 ,1.31 ,0.31 ,25.1 ,3.77 ,2.49 ,22.99 ,180.0 ,137.0 ,1.3 ,3,"MMB,P05,W97"
1007,353.273+0.641,Irregular,7.901 ,0.027 ,2.554 ,0.031 ,0.814 ,1.156 ,0.625 ,--,1.32 ,0.52 ,27.9 ,4.11 ,2.46 ,23.00 ,12.7 ,12.7 ,1.0 ,1,MMB
1014,353.537-0.091,Irregular,9.913 ,0.036 ,7.741 ,0.015 ,0.261 ,1.766 ,1.524 ,0.026 ,4.82 ,0.55 ,19.0 ,3.56 ,3.16 ,22.32 ,2.3 ,2.3 ,1.0 ,1,MMB
1015,354.206-0.038,Burst,9.920 ,0.040 ,8.814 ,0.030 ,0.145 ,1.144 ,-0.526 ,0.023 ,3.76 ,2.11 ,30.6 ,5.30 ,3.60 ,22.56 ,1.4 ,1.4 ,1.0 ,1,MMB
1020,354.724+0.300,Irregular,8.917 ,0.030 ,4.869 ,0.034 ,0.852 ,1.398 ,--,--,11.05 ,1.98 ,24.7 ,5.02 ,3.85 ,22.91 ,18.0 ,12.2 ,1.5 ,2,"MMB,W97"
1031,357.558-0.321,Irregular,12.449 ,0.283 ,10.179 ,0.052 ,0.363 ,1.310 ,0.525 ,0.020 ,1.33 ,--,--,--,--,--,2.0 ,2.0 ,1.0 ,1,MMB
1032,357.559-0.321,Irregular,12.446 ,0.279 ,10.182 ,0.052 ,0.363 ,1.319 ,0.525 ,0.020 ,1.33 ,--,--,--,--,--,2.0 ,2.0 ,1.0 ,1,MMB
1035,357.965-0.164,Irregular,10.671 ,0.057 ,7.027 ,0.014 ,0.408 ,3.730 ,-0.592 ,0.016 ,12.41 ,--,--,--,--,--,3.1 ,3.1 ,1.0 ,1,MMB
